"Retour au menu ""Les films les plus diffusés à la télévision""";;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Classement des films les plus diffusés sur les chaînes nationales gratuites depuis 1957;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
titre;réalisateur(s);année de production;groupe de nationalité2;année de dernière diffusion;nb. de diffusions;dont en première partie de soirée;nb. moyen de diffusions par an;;;;;;;;;;;;;;;;;;;
MAMAN J AI RATE L AVION;COLUMBUS Chris;1990;ETATS UNIS;2024;31;16;1,0;;;;;;;;;;;;;;;;;;;
TINTIN ET LES ORANGES BLEUES;CONDROYER Philippe;1964;FRANCE / ESPAGNE;2019;31;16;0,6;;;;;;;;;;;;;;;;;;;
PRETTY WOMAN;MARSHALL Garry;1990;ETATS UNIS;2024;31;23;1,0;;;;;;;;;;;;;;;;;;;
BALLADE DES DALTON (LA);GOSCINNY René;1977;FRANCE;2024;31;12;0,8;;;;;;;;;;;;;;;;;;;
CAGE AUX FOLLES (LA);MOLINARO Edouard;1978;ITALIE / FRANCE;2019;31;16;0,8;;;;;;;;;;;;;;;;;;;
TOTALE (LA);ZIDI Claude;1991;FRANCE;2023;31;22;1,0;;;;;;;;;;;;;;;;;;;
ARME FATALE III (L');DONNER Richard;1992;ETATS UNIS;2024;31;19;1,1;;;;;;;;;;;;;;;;;;;
TAXI 2;KRAWCZYK Gérard;1999;FRANCE;2023;31;20;1,4;;;;;;;;;;;;;;;;;;;
I, ROBOT;PROYAS Alex;2004;ETATS UNIS;2023;31;20;1,9;;;;;;;;;;;;;;;;;;;
SLUMDOG MILLIONAIRE;BOYLE Danny;2008;GRANDE BRETAGNE;2024;31;19;2,6;;;;;;;;;;;;;;;;;;;
ON NE CHOISIT PAS SA FAMILLE;CLAVIER Christian;2011;FRANCE;2024;31;9;3,1;;;;;;;;;;;;;;;;;;;
OSS 117 LE CAIRE NID D ESPIONS;HAZANAVICIUS Michel;2005;FRANCE;2024;31;18;2,1;;;;;;;;;;;;;;;;;;;
FABULEUX DESTIN D AMELIE POULAIN (LE);JEUNET Jean-Pierre;2000;FRANCE / ALLEMAGNE;2024;31;22;1,5;;;;;;;;;;;;;;;;;;;
T4XI;KRAWCZYK Gérard;2006;France;2024;31;15;2,1;;;;;;;;;;;;;;;;;;;
PLUS BEAU METIER DU MONDE (LE);LAUZIER Gérard;1996;FRANCE;2023;31;22;1,2;;;;;;;;;;;;;;;;;;;
MRS DOUBTFIRE;COLUMBUS Chris;1993;ETATS UNIS;2024;31;19;1,2;;;;;;;;;;;;;;;;;;;
ALIVE;BERTHE Frederic;2003;FRANCE / BELGIQUE;2024;31;4;1,9;;;;;;;;;;;;;;;;;;;
LIGNE VERTE (LA);DARABONT Franck;2000;ETATS UNIS;2024;31;21;1,5;;;;;;;;;;;;;;;;;;;
DERNIER EMPEREUR (LE);BERTOLUCCI Bernardo;1987;ITALIE;2024;30;19;0,9;;;;;;;;;;;;;;;;;;;
SOLITAIRE (LE);DERAY Jacques;1986;FRANCE;2024;30;21;0,9;;;;;;;;;;;;;;;;;;;
GENDARME EN BALADE (LE);GIRAULT Jean;1970;FRANCE;2024;30;20;0,6;;;;;;;;;;;;;;;;;;;
